标题,原价,最终价,历史价,销售店铺,店铺 ID,sku,喷淋臂类型,喷淋臂数量,颜色,内胆材质,机身高度,套数,碗篮层数,洗涤程序,烘干方式,清洁指数,干燥指数,水效等级,产品尺寸,智能投放,水压,消杀等级,存储时长
西门子黑魔镜636ProMax 150L+大容积 双一级认证超节能洗碗机,6499.00,6499.00,6999.00,西门子家电京东自营旗舰店,1000001421,100130777668,上下S型喷臂,未知,黑色,304和430不锈钢,775mm,约109件,2层,10大洗涤程序+云程序（包含节能洗、智能洗、超快洗、超净洗、日常洗、自定义等）,SmartAir™智能开门烘干+专利高温循环热烘,1.24,1.23,超一级,775*598*573（高*宽*深）,支持,4.1米,五星级,168h（7天）
美的晶焰G7洗碗机 16套灶下嵌入式 万向飓风喷臂,4999.00,4999.00,7999.00,京东电器自营官方旗舰店,1000469621,100193977566,"万向飓风喷淋臂, 万向喷淋臂","3+2, 3层",黑色,全不锈钢内胆,"700mm, 775mm","16套, 18套, 18套+2, 21套","2层, 3层, 3+1层","7+5+6, 6+8+6, 6+11+6, 6+9+6, 单消毒、区域强洗, 一键洗烘、海鲜洗、蒸汽消毒, 一键洗烘（超快79MIN）晶焰消毒（免水洗单烘干）海鲜洗、玩具洗、区域强洗, 开合速干、一键洗烘、蒸汽消毒、区域强洗、海鲜洗","105℃热风烘干, 晶焰3.0:120℃环流热烘 洗完即干 一级洁净认证 无残留认证, 晶焰双模烘干 105℃热风+自动开关门 一级速干认证","1.21, 1.31, 1.32","1.25, 1.32",超一级水效,"598*576*700mm, 598*576*775mm, 600*570*775mm","智能投放2.0, 未知","变频50kPa, 变频55kPa","四星消毒, 四星消毒 七星消杀 UV紫外线消毒, 四星消毒 七星消杀 VDEi认证","超168小时新风存储 无需重复洗烘 内胆不返潮 木制餐具不发霉 智能APP操作 想存多久存多久, 365天储存+ APP无限巡航"
美的万向X6S小蛮腰111L 45cm超窄双模烘干 洗碗机,6234.00,6234.00,6999.00,美的京东自营旗舰店,1000282702,100272261422,,,,,,,,,,,,,,,,,
松下（Panasonic） 鲸18套1JD 高温烘干 除菌净存 嵌入式洗碗机,6499.00,6499.00,7999.00,松下厨卫电器京东自营旗舰店,1000017365,100141543922,,,,,,,,,,,,,,,,,
西门子新水效洗碗机全链路除菌99.999%,5790.00,5790.00,9999.00,西门子家电京东自营旗舰店,1000001421,100333110210,反重力悬浮喷淋臂,未知,黑色,未知,775mm,20套,3层,"火锅洗,AI净洗,静音洗,微米蒸汽,开门速干,超净洗,日常洗,超快洗,预冲洗,加强除菌",开门速干（Smart Air开门烘3.0）,未知,未知,新1级,775*598*573mm,未知,50000Pa,99.9999%杀菌率（覆盖9大常见细菌病毒）,240h
美的万向X6S Max洗碗机 18套嵌入式 四星消毒 七星消杀 一键洗烘,6469.00,6469.00,6999.00,京东电器自营官方旗舰店,1000469621,100261776992,万向喷淋臂,未知,黑色,全不锈钢内胆,775mm,18套,3层,"一键洗烘, 标准洗, 超强洗, 快速洗, 节能洗, 蒸汽消毒, 漂洗, 分层洗, 烘干储存, 自清洁, 预冲洗, 智能洗, 轻柔洗, 瓜果洗, 消毒洗, 海鲜洗, 火锅洗","105℃热风强烘, PTC环流热风+105°热风烘干",1.31,1.32,1级,宽598mm x 深576mm x 高775mm,未知,50KPa,4星级,168h
美的（Midea）【万向X6S Max】洗碗机全嵌入式升级18套大容量家用洗碗机全自动万向喷淋臂热风烘干【X6S Ultra】 嵌入式 【新品】【万向升级款X6SUltra】,5499.00,5499.00,6999.00,美的洗碗机旗舰店,674884,10213700043093,万向喷淋,未知,黑色,全不锈钢内胆,775mm,"20套,18套",3层,"一键洗烘,标准洗,超强洗,节能洗,巴氏消毒,自清洁,预冲洗,轻柔洗,瓜果洗,海鲜洗,火锅洗,消毒洗,智能洗,快速洗","晶焰双模式烘干（自动开门速干+105℃热风烘干）,105℃热风烘干","1.33,1.31","1.33,1.32","新国标一级能效,1级","(600-605)×585×(780-810)mm,宽598x深585x高775mm",未知,"55kPa,50kPa","七星消杀+四星消毒,四星级","365天,168H"
美的（Midea）【小西梅P80】洗碗机嵌入式150升以上 万向喷臂+飓风洗 105℃热风烘干晶焰速干 七星消杀 一键洗烘 嵌入式 【重磅新品】 P80,6299.00,6299.00,9999.00,美的集团官方旗舰店,173337,10214688357954,"万向中喷, 飓风下喷",双区域喷臂,玄武灰,未知,775mm（或775 - 805mm）,22套,3层,"一键洗烘, 标准洗, 超强洗, 海鲜洗, 节能洗, 巴氏消毒, 热风烘存, 开门速干, 分层洗, +漂洗, 智能洗, 消毒洗, 自清洁, 预冲洗, 轻柔洗, 火锅洗, 瓜果洗, 快速洗, 长效储存","自动开门烘干, 105℃热风烘干",1.33Pc,1.33PD,1级,598×775×576mm,未知,55kPa,七星消杀,365+N
西门子新水效洗碗机全链路除菌99.999%,5390.00,5390.00,9999.00,西门子家电京东自营旗舰店,1000001421,100249637925,反重力悬浮喷淋臂,未知,黑色（钢琴黑）,未知,795mm,20套,3层,火锅洗、AI净洗、单除菌、静音洗、超净洗、开门速干、智能洗、预冲洗、节能洗、蒸汽洗、全域洗、专研洗、强排洗,Smart Air开门烘3.0,未知,未知,新1级,795*600*605（mm）,未知,50000Pa,99.9999%杀菌率（覆盖9大常见细菌病毒）,240h
美的灶下V9 Pro 103L一键单消毒七星消杀洗碗机,3868.00,3868.00,8499.00,美的京东自营旗舰店,1000282702,100164551887,双层加大喷臂,未知,黑色,未知,595mm,15套,2层,"一键洗烘, 标准洗, 超强洗, 节能洗, 果蔬洗, 火锅洗, 蒸汽消毒, 自清洁, 智能洗, 快速洗, 预冲洗, 消毒洗, 漂洗, 烘干储存, 下层强洗",热风烘干,1.29,1.30,1级,595x595x500mm,未知,55kPa,四星消毒+七星消杀,168小时
